fyear,cik
2014,1108205
2015,1108205
2016,1108205
2017,1108205
2018,1108205
2019,1108205
2020,1108205
2021,1108205
2022,1108205
2023,1108205
2009,1113148
2010,1113148
2011,1113148
2020,1113148
2012,1113481
2013,1113481
2014,1113481
2015,1113481
2016,1113481
2017,1113481
2018,1113481
2015,1114220
2016,1114220
2017,1114220
2013,1114448
2014,1114448
2015,1114448
2016,1114448
2017,1114448
2018,1114448
2019,1114448
2020,1114448
2021,1114448
2022,1114448
2023,1114448
2013,1117480
2011,1119643
2012,1119643
2013,1119643
2014,1119643
2015,1119643
2016,1119643
2017,1119643
2018,1119643
2019,1119643
2020,1119643
2021,1119643
2013,1119774
2014,1119774
2015,1119774
2016,1119774
2017,1119774
2013,1121404
2014,1121404
2015,1121404
2016,1121404
2017,1121404
2018,1121404
2019,1121404
2020,1121404
2021,1121404
2022,1121404
2023,1121404
2015,1124105
2016,1124105
2022,1124105
2023,1124105
2013,1125345
2019,1129928
2020,1129928
2021,1129928
2022,1129928
2023,1129928
2009,1130166
2011,1130166
2014,1130166
2015,1130166
2016,1130598
2017,1130598
2018,1130598
2019,1130598
2020,1130598
2021,1130598
2013,1131399
2014,1131399
2015,1131399
2016,1131399
2017,1131399
2018,1131399
2019,1131399
2020,1131399
2021,1131399
2022,1131399
2023,1131399
2013,1131543
2009,1133416
2014,1133416
2015,1133416
2016,1133416
2017,1133416
2021,1133416
2022,1133416
2023,1133416
2014,1133519
2015,1133519
2016,1133519
2023,1133818
2014,1135906
2013,1135951
2014,1135951
2015,1135951
2016,1135951
2017,1135951
2018,1135951
2019,1135951
2020,1135951
2021,1135951
2022,1135951
2023,1135951
2014,1137883
2023,1137883
2009,1140098
2010,1140098
2011,1140098
2012,1140098
2013,1140098
2014,1140098
2009,1142380
2010,1142380
2011,1142380
2014,1157075
2023,1157075
2014,1157602
2014,1158399
2016,1158399
2017,1158399
2018,1158399
2019,1158399
2009,1158780
2012,1158780
2013,1158780
2014,1158780
2015,1158780
2016,1158780
2017,1158780
2018,1158780
2019,1158780
2020,1158780
2021,1158780
2022,1158780
2023,1158780
2013,1159019
2014,1159019
2023,1159036
2017,1160308
2018,1160308
2019,1160308
2020,1160308
2009,1161924
2018,1169245
2020,1169245
2021,1169245
2019,1173281
2020,1173281
2021,1173281
2017,1174940
2014,1175680
2015,1175680
2016,1175680
2017,1175680
2018,1175680
2019,1175680
2020,1175680
2021,1175680
2022,1175680
2023,1175680
2014,1178253
2015,1178253
2016,1178253
2017,1178253
2018,1178253
2019,1178253
2020,1178253
2021,1178253
2022,1178253
2023,1178253
2020,1178670
2021,1178670
2022,1178670
2023,1178670
2013,1178711
2014,1178711
2015,1178711
2016,1178711
2016,1178879
2017,1178879
2018,1178879
2019,1178879
2012,1182129
2013,1182129
2023,1183765
2019,1187953
2020,1187953
2021,1187953
2022,1187953
2013,1195116
2014,1195116
2015,1195116
2021,1200375
2013,1205059
2014,1205059
2015,1205059
2020,1205059
2021,1205059
2022,1205059
2023,1205059
2018,1205922
2019,1205922
2020,1205922
2021,1205922
2022,1205922
2023,1205922
2013,1208261
2014,1208261
2015,1208261
2016,1208261
2017,1208261
2010,1211583
2011,1211583
2012,1211583
2013,1211583
2014,1211583
2015,1211583
2016,1211583
2017,1211583
2018,1211583
2019,1211583
2011,1213037
2012,1213037
2013,1213037
2014,1213037
2015,1213037
2016,1213037
2017,1213037
2018,1213037
2019,1213037
2020,1213037
2021,1213037
2022,1213037
2020,1228627
2021,1228627
2023,1228627
2013,1232524
2017,1232524
2018,1232524
2019,1232524
2020,1232524
2021,1232524
2022,1232524
2023,1232524
2014,1235007
2014,1245104
2019,1260990
2014,1261249
2015,1261249
2016,1261249
2017,1261249
2018,1261249
2022,1261249
2023,1261249
2009,1261734
2010,1261734
2011,1261734
2013,1261734
2011,1262104
2012,1262104
2013,1262104
2014,1262104
2012,1264587
2013,1264587
2021,1267565
2022,1267565
2011,1267602
2012,1267602
2013,1267602
2014,1267602
2015,1267602
2016,1267602
2017,1267602
2021,1267602
2022,1267602
2023,1267602
2014,1267813
2013,1269021
2014,1269021
2016,1269021
2017,1269021
2018,1269021
2019,1269021
2013,1270073
2014,1270073
2009,1271057
2010,1271057
2011,1271057
2009,1274057
2010,1274057
2011,1274057
2012,1274057
2013,1274057
2014,1274057
2013,1274644
2013,1274792
2010,1279704
2011,1279704
2012,1279704
2013,1279704
2014,1279704
2015,1279704
2016,1279704
2017,1279704
2018,1279704
2019,1279704
2020,1279704
2013,1280600
2014,1280600
2015,1280600
2016,1280600
2017,1280600
2018,1280600
2009,1281696
2022,1281895
2023,1281895
2015,1290149
2019,1290149
2020,1290149
2014,1293310
2012,1296391
2013,1296391
2015,1297184
2016,1297184
2017,1297184
2018,1297184
2019,1297184
2020,1297184
2021,1297184
2022,1297184
2023,1297184
2017,1300699
2015,1301501
2016,1301501
2017,1301501
2018,1301501
2009,1310094
2010,1310094
2011,1310094
2012,1310094
2018,1310488
2013,1314052
2014,1314052
2015,1314052
2016,1314052
2009,1314102
2010,1314102
2011,1314102
2012,1314102
2013,1314102
2018,1314102
2019,1314102
2010,1316175
2011,1316175
2016,1316175
2017,1316175
2023,1321834
2015,1322505
2016,1322505
2009,1323854
2010,1323854
2022,1326110
2023,1326110
2015,1326190
2016,1326190
2017,1326190
2018,1326190
2020,1326732
2021,1326732
2013,1327467
2017,1328143
2018,1328143
2019,1328143
2020,1328143
2013,1335103
2014,1335103
2015,1335103
2016,1335103
2013,1337553
2009,1337905
2010,1337905
2011,1337905
2012,1337905
2013,1337905
2014,1337905
2015,1337905
2014,1338042
2015,1338042
2013,1338095
2014,1338095
2020,1339469
2016,1340243
2017,1340243
2018,1340243
2019,1340243
2020,1340243
2009,1340752
2011,1341843
2016,1343009
2017,1343009
2018,1343009
2018,1343304
2016,1345099
2022,1345099
2023,1345099
2024,1345099
2010,1347613
2011,1347613
2012,1347613
2013,1347613
2014,1347613
2015,1347613
2016,1347613
2017,1347613
2020,1349929
2021,1349929
2022,1349929
2013,1351172
2014,1351172
2015,1351172
2018,1351172
2019,1351172
2013,1353406
2014,1353406
2013,1355790
2014,1355790
2015,1355790
2016,1355790
2017,1355790
2018,1355790
2019,1355790
2020,1355790
2013,1356090
2020,1356090
2021,1356090
2022,1356090
2013,1356576
2014,1356576
2015,1356576
2016,1356576
2017,1356576
2018,1356576
2019,1356576
2020,1356576
2021,1356576
2022,1356576
2023,1356576
2021,1357459
2022,1357459
2023,1357459
2019,1358403
2020,1358403
2021,1358403
2022,1358403
2015,1358575
2016,1358575
2017,1358575
2018,1358575
2019,1358575
2020,1358575
2021,1358575
2016,1360214
2017,1360214
2013,1360886
2014,1360886
2017,1360886
2018,1360886
2013,1361248
2014,1361248
2015,1361248
2016,1362703
2017,1362703
2018,1362703
2019,1362703
2021,1362703
2022,1362703
2023,1362703
2015,1365216
2009,1367083
2010,1367083
2011,1367083
2012,1367083
2013,1367083
2014,1367083
2015,1367083
2019,1367644
2020,1367644
2021,1367644
2022,1367644
2023,1367644
2014,1367920
2022,1368148
2013,1368514
2014,1368514
2015,1368514
2021,1368514
2013,1369568
2014,1369568
2015,1369568
2016,1369568
2017,1369568
2009,1369868
2010,1369868
2011,1369868
2012,1369868
2013,1369868
2016,1370053
2017,1370053
2019,1372299
2020,1372299
2021,1372299
2022,1372299
2019,1372821
2021,1372821
2022,1372821
2023,1372821
2016,1373707
2013,1374261
2022,1374339
2023,1374339
2011,1375151
2012,1375151
2013,1375151
2014,1375151
2015,1375151
2018,1376339
2019,1376339
2020,1376339
2021,1376339
2022,1376339
2011,1377053
2012,1377053
2013,1377053
2011,1379006
2012,1379006
2013,1379006
2014,1379006
2015,1379006
2016,1379006
2017,1379006
2018,1379006
2019,1379006
2020,1379006
2021,1379006
2018,1382101
2019,1382101
2020,1382101
2021,1382101
2022,1382101
2023,1382101
2020,1383701
2013,1385374
2014,1385374
2013,1385508
2014,1385508
2015,1385508
2016,1385818
2017,1385818
2018,1385818
2019,1385818
2020,1385818
2022,1385818
2023,1385818
2010,1388132
2011,1388132
2011,1388319
2012,1388319
2013,1388319
2014,1388319
2015,1388319
2016,1388319
2017,1388319
2012,1388320
2013,1388320
2014,1388320
2015,1388320
2016,1388320
2017,1388320
2018,1388320
2013,1389545
2014,1389545
2015,1389545
2016,1389545
2020,1389545
2021,1389545
2022,1389545
2023,1389545
2016,1390478
2017,1390478
2018,1390478
2019,1390478
2020,1390478
2021,1390478
2017,1393434
2018,1393434
2019,1393434
2020,1393434
2021,1393434
2022,1393434
2023,1393434
2014,1394319
2015,1394319
2020,1395064
2021,1395064
2022,1395064
2023,1395064
2016,1395937
2021,1395937
2022,1395937
2015,1396238
2020,1398733
2021,1398733
2022,1398733
2023,1398733
2020,1399529
2014,1404644
2015,1404644
2016,1404644
2009,1405197
2010,1405197
2012,1409565
2013,1409565
2014,1409565
2013,1410098
2014,1410098
2015,1410098
2016,1410098
2017,1410098
2018,1410098
2022,1410098
2011,1411685
2012,1411685
2013,1411685
2014,1411685
2010,1411906
2011,1411906
2012,1411906
2013,1411906
2014,1411906
2015,1411906
2016,1411906
2017,1411906
2018,1411906
2019,1411906
2020,1411906
2021,1411906
2022,1411906
2023,1411906
2013,1412067
2014,1412067
2015,1412067
2014,1412486
2015,1412486
2016,1412486
2017,1412486
2018,1412486
2019,1412486
2020,1412486
2021,1412486
2022,1412486
2013,1412558
2014,1412558
2015,1412558
2016,1412558
2017,1412558
2018,1412558
2019,1412558
2020,1412558
2021,1412558
2022,1412558
2023,1412558
2020,1413488
2021,1413488
2021,1413754
2022,1413754
2023,1413754
2010,1415684
2011,1415684
2012,1415684
2013,1415684
2014,1415684
2015,1415684
2009,1416083
2010,1416083
2011,1416083
2012,1416083
2013,1416083
2015,1418133
2016,1418133
2022,1419554
2023,1419554
2012,1420030
2013,1420030
2014,1420030
2015,1420030
2010,1420720
2011,1420720
2012,1420720
2013,1420720
2014,1420720
2009,1421204
2010,1421204
2011,1421204
2012,1421204
2013,1421204
2014,1421204
2015,1421204
2016,1421204
2017,1421204
2018,1421204
2019,1421204
2020,1421204
2021,1421204
2022,1421204
2012,1421289
2013,1421289
2014,1421289
2022,1421642
2023,1421642
2015,1421876
2016,1421876
2022,1422142
2015,1422143
2018,1423824
2011,1424812
2012,1424812
2013,1424812
2014,1424812
2015,1424812
2010,1425205
2011,1425205
2012,1425205
2013,1425205
2014,1425205
2018,1425205
2019,1425205
2013,1427925
2014,1427925
2015,1427925
2016,1427925
2020,1427925
2021,1427925
2014,1428369
2015,1428369
2015,1429260
2016,1429260
2017,1429260
2018,1429260
2019,1429260
2020,1429260
2021,1429260
2022,1429260
2023,1429260
2016,1429386
2019,1429560
2020,1429560
2023,1430306
2017,1434265
2018,1434265
2020,1434316
2021,1434316
2022,1434316
2023,1434316
2015,1434647
2016,1434647
2017,1434647
2018,1434647
2019,1434647
2020,1434647
2021,1434647
2022,1434647
2023,1434647
2019,1434868
2020,1434868
2021,1434868
2014,1436161
2015,1436161
2016,1436161
2018,1437402
2019,1437402
2020,1437402
2021,1437402
2022,1437402
2023,1437402
2014,1437786
2013,1438533
2014,1438533
2015,1438533
2016,1438533
2017,1438533
2018,1438533
2019,1438533
2013,1438569
2014,1438569
2015,1438569
2016,1438569
2017,1438569
2018,1438569
2019,1438569
2021,1438569
2022,1438569
2023,1438569
2011,1443242
2012,1443242
2013,1443242
2014,1443242
2011,1444307
2012,1444307
2013,1444307
2014,1444307
2019,1445283
2023,1445283
2022,1445499
2015,1446847
2016,1446847
2017,1446847
2018,1446847
2019,1446847
2020,1446847
2021,1446847
2022,1446847
2023,1446847
2013,1447028
2014,1447028
2015,1447028
2016,1447028
2017,1447028
2013,1453001
2014,1453001
2012,1453099
2013,1453099
2015,1453099
2016,1453099
2017,1453099
2018,1453099
2023,1453687
2013,1454189
2014,1454189
2021,1455365
2022,1455365
2013,1457612
2014,1457612
2018,1457612
2014,1459266
2014,1460602
2015,1460602
2016,1460602
2018,1460602
2021,1460702
2022,1460702
2023,1460702
2015,1461993
2021,1463361
2022,1463361
2023,1463361
2013,1464165
2014,1464165
2015,1464165
2016,1464165
2017,1464165
2017,1466301
2018,1466301
2019,1466301
2020,1466301
2021,1466301
2018,1467154
2019,1467154
2020,1467154
2021,1467154
2015,1467652
2017,1467652
2018,1467652
2019,1467652
2020,1468679
2018,1468748
2022,1468748
2023,1468748
2020,1472012
2013,1474835
2013,1476963
2020,1476963
2021,1476963
2022,1476963
2019,1477845
2020,1477845
2023,1477845
2014,1478069
2015,1478069
2016,1478069
2017,1478069
2018,1478069
2019,1478069
2013,1479290
2014,1479290
2015,1479290
2016,1479290
2017,1479290
2018,1479290
2019,1479290
2020,1479290
2021,1479290
2022,1479290
2017,1479419
2023,1479419
2020,1479615
2014,1484565
2015,1484565
2016,1484565
2017,1484565
2018,1484565
2019,1484565
2020,1484565
2021,1484565
2022,1484565
2023,1484565
2021,1485003
2022,1485003
2023,1485003
2017,1490873
2018,1490873
2019,1490873
2020,1490873
2019,1492422
2020,1492422
2021,1492422
2022,1492422
2023,1492422
2013,1492426
2014,1492426
2015,1492426
2016,1492426
2022,1492426
2014,1493566
2017,1494650
2012,1497253
2013,1497253
2014,1497253
2015,1497253
2016,1497253
2017,1497253
2020,1498067
2021,1498067
2022,1498067
2013,1498382
2014,1498382
2015,1498382
2016,1498382
2017,1498382
2018,1498382
2019,1498382
